Apêndice C

3,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
2,Lorena,SABESP,85741,98,100,57,4.630,2.044,"7,10",R.Paraíba do Sul e Rib.Taboão
2,Monteiro Lobato,SABESP,2001,82,100,74,108,42,"7,19",Rio Buquira
2,Natividade da Serra,PM,2788,96,50,79,151,93,"4,95",Represa Paraibuna
2,Paraibuna,PM,5480,100,0,,296,296,"1,49",R.Paraibuna
2,Pindamonhangaba,SABESP,160478,98,100,70,8.666,2.685,"7,66","R.Paraíba, Rib.Curuputuba e Uma."
2,Piquete,CAB PIQUETE,12870,79,0,,695,695,"1,18","Rios Piquete, Benfica e Sertão"
2,Potim,PM,18294,85,10,31,988,962,"1,60",Rio Paraíba; Rib. Dos Buenos
2,Queluz,SABESP,10842,70,59,93,585,361,"4,43",Rios Verde e Paraíba
2,Redenção da Serra,SABESP,2205,48,100,98,119,63,"5,78",Res.Paraibuna
2,Roseira,SABESP,10087,96,100,85,545,100,"9,64",R.Pirapitingui
2,Santa Branca,PM,12980,65,5,60,701,688,"1,46",Rib.Barretos e R.Paraíba
2,Santa Isabel,SABESP,44561,61,0,,2.406,2.406,"0,91",R.Araraquara e Res.Jaguari
2,São José do Barreiro,PM,2910,85,0,,157,157,"1,27",Rib.do Barreiro e Cór.da Estância
2,São José dos Campos,SABESP,700366,97,100,83,37.820,7.523,"9,95","R.Paraíba do Sul, Cambuí, Peixe, Alambari e Pararangaba"
2,São Luís do Paraitinga,SABESP,6351,89,100,96,343,51,"9,84",Rios Paraitinga e Chapéu
2,Silveiras,SABESP,3114,97,100,90,168,21,"9,66",Rib.Silveiras; Rib. Dos Macacos

5,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
2,Taubaté,SABESP/ PM,305127,96,100,96,16.477,1.281,"9,44","Cór.Judeu, Piracangaguá e J.Raimundo"
2,Tremembé,SABESP,42026,79,100,96,2.269,548,"7,61",R.Paraíba do Sul
3,Caraguatatuba,SABESP,115535,75,100,89,6.239,2.080,"7,46",Rios Diversos / Mar
3,Ilhabela,SABESP,34097,35,4,95,1.841,1.817,"1,18",Rios Diversos / Mar
3,São Sebastião,SABESP,86608,41,55,82,4.677,3.822,"3,12",Rios Diversos / Mar
3,Ubatuba,SABESP,87571,39,100,90,4.729,3.075,"4,85",Rios Diversos / Mar
4,Altinópolis,DAE,14128,100,100,76,763,183,"8,44",Cór.Mato Grosso
4,Brodowski,DAE,23999,99,100,88,1.296,173,"9,99",Cór.da Divisa e Cór.Matadouro
4,Caconde,DAE,12923,100,0,,698,698,"1,50",R.São Miguel
4,Cajuru,SABESP,23077,98,100,80,1.246,272,"8,55",Cór.Cajuru
4,Casa Branca,SAEE,24730,100,100,75,1.335,338,"7,86",Rib.das Congonhas
4,Cássia dos Coqueiros,SABESP,1732,92,100,94,94,13,"9,87",Rio Cubatão
4,Cravinhos,SAEE,34118,99,100,84,1.842,310,"9,69",Rib. Preto
4,Divinolândia,SABESP,7499,87,88,91,405,124,"7,63",Rio do Peixe
4,Itobi,SABESP,7052,87,100,80,381,115,"7,86",Rio Verde
4,Jardinópolis,DAE,42006,100,0,,2.268,2.268,"1,50",Cór.Matadouro
4,Mococa,SABESP,63451,99,100,73,3.426,966,"8,15",Rio Canoas
4,Ribeirão Preto,AMBIENT,692568,100,94,95,37.399,4.256,"9,90",Ribeirão Preto e Rio Pardo
4,Sales Oliveira,DAE,10666,99,100,87,576,80,"9,99",Cór.Aurora e Cór.Lageado
4,Santa Cruz da Esperança,SABESP,1439,100,100,84,78,12,"10,00",Cór.Brilhante
4,Santa Rosa de Viterbo,SABESP,25093,98,100,81,1.355,288,"8,28",Cór.Bibiano e Cór.Caçador
4,São José do Rio Pardo,SAERP,48501,100,12,59,2.619,2.433,"2,64",Rio Pardo
4,São Sebastião da Grama,Águadsa  dGer Saãmoa  S-eSbPaEstião,8039,97,70,0,434,434,"2,50",Rio Fartura
4,São Simão,DAE,13747,100,0,,742,742,"1,50",Cór.São Simão
4,Serra Azul,SABESP,10212,89,100,92,551,99,"9,84",Cór.Serra Azul
4,Serrana,DAE,44083,100,0,,2.380,2.380,"1,50",Cór.Serrinha
4,Tambaú,DAE,20598,100,100,85,1.112,167,"10,00",RioTambaú
4,Tapiratiba,DAE,10684,100,80,78,577,217,"7,26",Rib.Conceição e Cór.Soledade
4,Vargem Grande do Sul,SAE,40413,100,90,65,2.182,906,"7,15",Rio Verde
5,Águas de São Pedro,SABESP,3380,95,100,90,183,26,"9,43",Rib.Araquá
5,Americana,DAE,236005,96,75,61,12.744,7.246,"5,86",Rio Piracicaba
5,Amparo,SAAE,56433,95,73,90,3.047,1.145,"7,08",R.Camanducaia
5,Analândia,PM,3912,96,100,65,211,79,"7,50",R.Corumbataí
5,Artur Nogueira,SAEAN,48326,97,35,98,2.610,1.741,"4,14",Rib.Cotrins (80%) e Rib.Três Barras (20%)
5,Atibaia,SAAE,128725,67,76,85,6.951,3.947,"5,45",Rio Atibaia

7,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
5,Bom Jesus dos Perdões,PM,21970,85,0,,1.186,1.186,"1,58",Rio Atibainha
5,Bragança Paulista,SABESP,161649,86,100,91,8.729,1.914,"8,36",Rib. Lavapés
5,Campinas,SANASA,1173608,96,88,96,63.375,12.576,"9,45","Rib.Samambaia / Anhumas (45%), Quilombo (15%) e Capivari (40%)"
5,Campo Limpo Paulista,SABESP,83735,59,95,98,4.522,2.043,"6,37",Rio Jundiaí
5,Capivari,SAAE,52108,95,25,80,2.814,2.279,"3,24",Rio Capivari
5,Charqueada,SABESP,15434,80,96,88,833,268,"7,26","Rios Tijuco Preto, Charqueada, Fregadoli e Água Parada"
5,Cordeirópolis,SAAE,21752,100,0,,1.175,1.175,"1,50",Rib.Tatu
5,Corumbataí,PM,2186,100,100,0,118,118,"3,00",R.Corumbataí
5,Cosmópolis,DAE,65938,100,0,,3.561,3.561,"1,50",Rib.Três Barras
5,Elias Fausto,SABESP,14017,98,100,83,757,145,"9,67",Cór.Carneiro
5,Holambra,PM,10564,100,100,84,570,91,"10,00",Rib.Cachoeira e Cór.da Borda da Mata
5,Hortolândia,SABESP,227353,93,100,89,12.277,2.115,"9,90",Ribeirão Jacuba
5,Indaiatuba,SAAE,244446,98,57,97,13.200,6.082,"6,33",Rio Jundiaí
5,Ipeúna,PM,6370,86,100,97,344,57,"9,29",Cór.das Lavadeiras
5,Iracemápolis,PM,23352,100,100,79,1.261,265,"8,64",Rib.Cachoeirinha
5,Itatiba,SABESP,100531,95,100,82,5.429,1.186,"8,51",Rib.Jacarezinho e R.Atibaia
5,Itupeva,SABESP,51819,75,100,86,2.798,987,"7,33",Rio Jundiaí
5,Jaguariúna,PM,54593,96,74,98,2.948,896,"7,58",Rio Camanducaia
5,Jarinu,SABESP,22772,19,100,80,1.230,1.043,"3,27",Rib.Campo Largo
5,Joanópolis,SABESP,13098,62,100,84,707,338,"6,33",Rio Jacareí
5,Jundiaí,CSJ,396940,100,100,89,21.435,2.466,"9,99",R.Jundiaí
5,Limeira,BRKL iAmMeiBrIaE SN/TAAL -,294621,100,100,51,15.910,7.820,"6,51","Rib.Tatu (71%), Rib.da Graminha (11%) e Rib.Águas da Serra (18%)"
5,Louveira,SAE,45936,89,100,88,2.481,538,"8,43",Cór.Sto.Antonio e R.Capivari
5,Mombuca,SABESP,2859,95,100,79,154,40,"7,75",Cór.Mombuca
5,Monte Alegre do Sul,PM,4554,80,0,,246,246,"1,20",R.Camanducaia e Rib.Monte Alegre
5,Monte Mor,SABESP,55195,75,100,91,2.981,953,"7,25",Rio Capivari
5,Morungaba,SABESP,11494,94,100,88,621,107,"9,91",Rib.dos Mansos
5,Nazaré Paulista,SABESP,15548,14,100,78,840,749,"2,90",Rio Atibainha
5,Nova Odessa,CODEN,58401,96,100,98,3.154,178,"9,94",Ribeirão Quilombo
5,Paulínia,SABESP,106677,94,96,69,5.761,2.174,"7,40",Rio Atibaia
5,Pedra Bela,SABESP,1513,74,0,,82,82,"1,11",Cór.Pedra Bela
5,Pedreira,PM,46960,98,90,99,2.536,322,"9,82",Rio Jaguari
5,Pinhalzinho,SABESP,7399,92,100,80,400,107,"8,12",Rib.do Pinhal
5,Piracaia,SABESP,27140,51,100,87,1.466,818,"5,63",Rio Cachoeira
5,Piracicaba,SEMAE,390250,100,100,94,21.074,1.319,"10,00","R.Piracicaba, Rib.Piracicamirim e R.Corumbataí"

9,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
5,Rafard,DAE,7979,100,0,,431,431,"1,50",Cór.S.Francisco R.Capivari Cór. Sete Fogões
5,Rio Claro,BRK ACmlabrioe nSt.aAl - Rio,199814,100,92,97,10.790,1.185,"9,88",R.Corumbataí e Rib.Claro
5,Rio das Pedras,SAAE,33600,99,0,,1.814,1.814,"1,49",Rib.Tijuco Preto
5,Saltinho,DAE,6823,100,100,69,368,114,"7,69",Rib.Piracicamirim
5,Salto,SANESALTO,116735,92,96,71,6.304,2.361,"7,38",Rio Tietê
5,Santa Bárbara d'Oeste,DAE,191018,99,54,94,10.315,5.129,"6,06",Ribeirão dos Toledos
5,Santa Gertrudes,BRKG AERMTBRIUENDTESA LS .- ASTA,26122,100,100,68,1.411,455,"7,90",Cór.Barreiro e Rib.Claro
5,Santa Maria da Serra,PM,5384,100,100,58,291,122,"7,27",Rib.Bonito
5,Santo Antônio de Posse,SAAEP,21047,86,43,74,1.137,825,"3,72",R.Camanducaia -Mirim e Rib.Pirapitingui
5,São Pedro,SAE,29686,90,15,65,1.603,1.462,"2,35",Rib.Samambaia
5,Sumaré,Odebrecht,275297,95,28,79,14.866,11.744,"3,71",Ribeirão Quilombo
5,Tuiuti,PM,3410,44,0,,184,184,"0,65",Rib.do Pântano
5,Valinhos,DAEV,121005,91,100,95,6.534,885,"9,57",Rib.Pinheiros
5,Vargem,SABESP,5213,61,100,91,282,124,"6,55",Rib.da Limeira
5,Várzea Paulista,SABESP,120572,86,100,98,6.511,1.043,"9,79",Rio Jundiaí classe 4
5,Vinhedo,SANEBAVI,74884,85,100,99,4.044,651,"9,78",R.Capivari e Rib.Pinheiros
6,Arujá,SABESP,84920,68,100,75,4.586,2.244,"6,34",Rio Baquirivu-Guaçu
6,Barueri,SABESP,271306,78,50,92,14.651,9.480,"4,70",Rio Tietê
6,Biritiba-Mirim,SABESP,27688,54,99,56,1.495,1.047,"4,45",Rio Tietê
6,Caieiras,SABESP,97647,73,0,,5.273,5.273,"1,09",Rio Juqueri
6,Cajamar,SABESP,74115,74,0,,4.002,4.002,"1,11",Rib.dos Cristais
6,Carapicuíba,SABESP,398611,72,52,92,21.525,14.152,"4,58",Rio Tietê
6,Cotia,SABESP,244694,50,43,84,13.213,10.837,"3,06",Rio Cotia
6,Diadema,SABESP,420934,96,48,87,22.730,13.618,"4,76",Res.Billings
6,Embu das Artes,SABESP,270843,65,55,92,14.626,9.786,"3,96",Rio Tietê
6,Embu-Guaçu,SABESP,67031,37,100,84,3.620,2.481,"4,60",R.Embu-Guaçu
6,Ferraz de Vasconcelos,SABESP,183392,82,56,88,9.903,5.911,"5,19",Rio Tiête
6,Francisco Morato,SABESP,173654,40,0,,9.377,9.377,"0,60",Rio Juqueri
6,Franco da Rocha,SABESP,140422,65,0,,7.583,7.583,"0,97",Rio Juqueri
6,Guarulhos,SAEE - Guarulhos,1365899,89,7,91,73.759,69.897,"2,27",Rio Baquirivu-Guaçu
6,Itapecerica da Serra,SABESP,172244,29,98,92,9.301,6.836,"3,63",
6,Itapevi,SABESP,234352,60,52,92,12.655,8.996,"4,07",R.S.J.do Barueri
6,Itaquaquecetuba,SABESP,366519,64,16,89,19.792,17.983,"2,00",Rios Tietê (UGRHI 06) e Parateí (UGRHI 02)
6,Jandira,SABESP,123481,71,45,92,6.668,4.687,"4,18",R.S.J.do Barueri

11,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
6,Mairiporã,SABESP,85900,25,71,80,4.639,3.983,"2,86",Rio Juqueri
6,Mauá,BRK AMBIENTAL,468148,91,61,95,25.280,11.900,"6,22",Parte Guaió
6,Mogi das Cruzes,SEMAE,406682,93,61,88,21.961,10.997,"6,05",Rio Tietê
6,Osasco,SABESP,696850,74,52,92,37.630,24.268,"4,70",Rio Tietê
6,Pirapora do Bom Jesus,SABESP,18604,49,43,96,1.005,800,"2,71",Rio Tietê
6,Poá,SABESP,114686,96,93,88,6.193,1.322,"8,45",Rio Tietê
6,Ribeirão Pires,SABESP,122607,71,70,88,6.621,3.741,"5,14",R.Rib.Pires
6,Rio Grande da Serra,SABESP,50241,50,85,88,2.713,1.704,"4,44",Res.Billings
6,Salesópolis,SABESP,10836,78,98,79,585,231,"7,08",R.Paraitinga (ETE Sede) Infilt.no Solo (D.de Remédios)
6,Santana de Parnaíba,SABESP,136517,38,22,92,7.372,6.814,"1,89",Rio Tietê
6,Santo André,SEMASA,716109,100,46,98,38.670,21.444,"5,38",R.Tamanduateí e Res.Billings
6,São Bernardo do Campo,SABESP,819314,91,26,87,44.243,35.196,"3,28",Rib.dos Meninos e Res.Billings
6,São Caetano do Sul,SAEE,160275,100,100,88,8.655,1.039,"10,00",R.Tamanduateí
6,São Paulo,SABESP,12047861,89,75,92,650.584,253.202,"6,92","""RioR iTioe Ttêa, mRaion dPuinatheeíi""ros e"
6,Suzano,SABESP,284269,89,70,88,15.351,6.916,"6,46",Rio Tietê
6,Taboão da Serra,SABESP,285570,87,49,92,15.421,9.413,"5,06",Rio Tietê
7,Bertioga,SABESP,60758,34,100,84,3.281,2.347,"4,36",Rio Itapanhaú
7,Cubatão,SABESP,129760,49,100,92,7.007,3.815,"5,70",Rio Cubatão
7,Guarujá,SABESP,318051,65,6,97,17.175,16.528,"1,81",EPC-Enseada - Mar/ ETE-Estuário de Santos
7,Itanhaém,SABESP,99555,39,100,49,5.376,4.337,"3,85",Rio do Poço e Rio Curitiba em Itanhaém
7,Mongaguá,SABESP,55488,82,100,95,2.996,652,"8,32",Mar e Rio Aguapeú
7,Peruíbe,SABESP,66793,75,100,82,3.607,1.392,"7,12",Rio Preto
7,Praia Grande,SABESP,319146,74,0,,17.234,17.234,"1,31",Mar
7,Santos,SABESP,432633,98,0,,23.362,23.362,"1,67",Baia de Santos e Canal S.Jorge
7,São Vicente,SABESP,362483,73,18,52,19.574,18.256,"2,00",HUMAITA - Rio Mariana / SAMARITA - Rio Branco / INSULAR - Estuário de
8,Aramina,Prefeitura Municipal,5217,100,100,50,282,141,"6,55",Cór.Paraíso
8,Batatais,Seleta MLeitod aAmbiente,54856,98,100,83,2.962,553,"9,77",Cór.das Araras
8,Buritizal,SABESP,3630,98,100,92,196,20,"9,77",Cór.dos Buritis
8,Cristais Paulista,SAAE,6223,97,100,88,336,49,"9,76",Cór.Mococa
8,Franca,SABESP,344182,99,100,97,18.586,649,"9,99","Cór.Bagres, Sta Bárbara, Pouso Alto e B.Jardim"
8,Guaíra,"Departamento de
Esgoto e Água de Guaíra
(DEAGUA)",39076,100,100,28,2.110,1.524,"5,00","Córregos José Glusseco, Santa Quitéria e Ribeirão do Jardim"
8,Guará,ÁGUAS DE GUARÁ,20454,100,100,91,1.104,100,"9,80",Rib.Verde
8,Igarapava,SABESP,28526,97,100,91,1.540,186,"9,95",Cór.Santa Rita

13,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
8,Ipuã,SAAE,15538,100,100,79,839,180,"8,60",Cór.Santana
8,Itirapuã,SABESP,5378,98,100,93,290,25,"9,78",Cór.Capanema
8,Ituverava,SAEE,39160,100,100,85,2.115,310,"10,00",Rio do Carmo
8,Jeriquara,SABESP,2614,100,100,81,141,27,"10,00",Cór.Jeriquara
8,Miguelópolis,SABESP,20825,93,100,88,1.125,206,"9,89",Cór.Matador e S.Miguel
8,Nuporanga,PM,6701,100,100,53,362,170,"6,95",Cór.das Corredeiras
8,Patrocínio Paulista,SAAE,11734,100,100,70,634,190,"7,85",R.Sapucaizinho
8,Pedregulho,SABESP,12306,99,100,86,665,101,"9,99",Cór.da Cascata
8,Restinga,SABESP,5900,100,100,76,319,76,"8,44",Cór.Santo Antônio
8,Ribeirão Corrente,SABESP,3722,86,100,82,201,60,"7,65",Rib.Corrente
8,Rifaina,SABESP,3168,92,100,85,171,37,"8,46",Rio Grande
8,Santo Antônio da Alegria,SAE,5096,98,100,78,275,65,"7,95",Rib.do Pinheirinho
8,São Joaquim da Barra,SAAE,50525,100,0,,2.728,2.728,"1,50",Cór.S.Joaquim
8,São José da Bela Vista,Pref Municipal,7921,100,100,82,428,77,"10,00",Cór. Lajeadinho
9,Aguaí,PM,32437,99,62,69,1.752,1.014,"5,65",Rio Itupeva
9,Águas da Prata,SABESP,7263,100,94,74,392,121,"7,90",Ribeirão do Quartel
9,Águas de Lindóia,SAAE,18434,95,69,99,995,347,"7,19",Córrego do Barreiro
9,Américo Brasiliense,PM,39660,100,0,,2.142,2.142,"1,50",Cór.Maria Mendes
9,Araras,SAEMA,125777,100,0,,6.792,6.792,"1,50",Ribeirão das Araras - Classe 3.
9,Barrinha,DAE,32074,100,1,80,1.732,1.721,"1,55",Cór.Jatobá
9,Conchal,PM,26295,100,97,93,1.420,141,"9,46",Ribeirão Ferra/Ribeirão Conchal
9,Descalvado,SEMARH,29903,100,0,,1.615,1.615,"1,50",Ribeirão Bonito
9,Dumont,DAE,9363,100,100,84,506,81,"10,00",Cór.Dumont
9,Engenheiro Coelho,SAEEC,14838,100,100,80,801,160,"10,00",Rib.Guaiaquica
9,Espírito Santo do Pinhal,SABESP,39269,97,100,69,2.121,695,"7,83",Ribeirão dos Porcos
9,Estiva Gerbi,PM,8931,100,0,,482,482,"1,50",Rib.Anhumas e Cór.Ipê
9,Guariba,SABESP,38888,100,100,80,2.100,423,"8,69",Cór.Guariba
9,Guatapará,DAE,5583,100,30,80,301,229,"4,01",R.Mogi-Guaçu
9,Itapira,SAAE,68908,100,100,83,3.721,626,"9,70",Ribeirão da Penha/Córrego do Barreiro/Córrego Santana
9,Jaboticabal,SAAEJ,74574,100,99,80,4.027,847,"8,32",Cór.Jaboticabal
9,Leme,SAECIL,100290,100,96,87,5.416,893,"9,64",Ribeirão do Meio.
9,Lindóia,PM,7864,100,62,89,425,189,"6,03",Rio do Peixe
9,Luís Antônio,DAE,14094,100,100,74,761,198,"8,01",R.da Onça
9,Mogi Guaçu,SAMAE,143083,100,74,67,7.726,3.922,"5,81",R.Mogi-Guaçu
9,Mogi Mirim,SAAE,86723,96,67,96,4.683,1.791,"6,96",Rio Mogi-Mirim

15,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
9,Motuca,PM,3420,100,100,87,185,24,"10,00",Cór.Macacos/Cór. Conserva
9,Pirassununga,SAEP,69571,100,100,88,3.757,453,"10,00",Córrego Laranja Azeda
9,Pitangueiras,DAE,37835,100,10,69,2.043,1.907,"2,38",Cór.Pitangueiras
9,Pontal,DAE,48131,99,100,79,2.599,568,"8,56",Cór.Machado
9,Porto Ferreira,BRK AMBIENTAL,54786,96,27,90,2.958,2.263,"3,88",Rio Mogi-Guaçú.
9,Pradópolis,DAE,19561,100,100,80,1.056,211,"10,00",R.Mogi-Guaçu
9,Rincão,PM,8762,100,0,,473,473,"1,50",Cór.Paciente
9,Santa Cruz da Conceição,PM,3022,82,100,77,163,60,"7,36",Ribeirão do Roque.
9,Santa Cruz das Palmeiras,PM,32919,100,0,,1.778,1.778,"1,50",Cór.Pessegueiro
9,Santa Lúcia,PM,8253,100,100,75,446,111,"8,07",Cór.Monjolinho e Ponte Alta
9,Santa Rita do Passa Quatro,DAE,24622,96,46,89,1.330,806,"5,20",Córrego do Marinho e Córrego Capituva.
9,Santo Antônio do Jardim,SABESP,3547,88,100,75,192,65,"7,62",Rib.Santa Bárbara
9,São João da Boa Vista,SABESP,87022,99,100,73,4.699,1.307,"8,17",R.Jaguari Mirim
9,Serra Negra,SABESP,25154,78,100,80,1.358,516,"7,19",Rib.Serra Negra
9,Sertãozinho,DAE,122981,100,85,76,6.641,2.351,"7,47",ETE Sertãozinho - Cór.Sul: Distrito de Cruz das Posses - Córrego Tabocas eCorrego Santo Antonio das Pimentas
9,Socorro,SABESP,27634,79,94,92,1.492,481,"7,29",Rio do Peixe
9,Taquaral,PM,2694,100,100,79,145,31,"8,64",Córrego Boa Vista
10,Alambari,SABESP,4448,57,100,83,240,126,"5,74",Rio Alambari
10,Alumínio,SABESP,15505,70,50,94,837,560,"3,96",Córrego do Varjão/Córrego do Bugre
10,Anhembi,SABESP,5002,96,96,53,270,138,"6,57",Cór.do Matadouro
10,Araçariguama,SABESP,14434,40,0,,779,779,"0,60",Ribeirão Araçariguama
10,Araçoiaba da Serra,ÁGUAS DE ARAÇOIABA,23058,40,100,80,1.245,847,"4,18",Ribeirão Vacariu
10,Bofete,SABESP,7606,98,99,89,411,54,"9,76",Rio do Peixe/Córrego São Roque
10,Boituva,SABESP,56247,72,100,70,3.037,1.505,"6,07","Cór.Pau D'Alho , Cór.Água Branca e Rib.Jerivá"
10,Botucatu,SABESP,139531,96,98,90,7.535,1.182,"9,91","Cór.Lavapés, Cór. Cintra e Cór. Comur"
10,Cabreúva,SABESP,41502,70,100,92,2.241,798,"6,94","Rib.Piraí (Afl.do R.Jundiai), Rib Cabreúva, Rio Tietê"
10,Capela do Alto,SABESP,16914,72,100,94,913,296,"7,47",Córrego Olaria
10,Cerquilho,SAAEC,45588,98,100,91,2.462,268,"9,67","Rib.da Serra, Cór.Taquaral e R.Sorocaba"
10,Cesário Lange,SABESP,12094,89,90,36,653,467,"4,74",Rib. Aleluia e Rib.Onça
10,Conchas,SABESP,14392,92,93,96,777,139,"9,78",Rib.Conchas
10,Ibiúna,SABESP,27414,44,100,90,1.480,894,"5,23","Rio Sorocamirim, Ribeirão Murundu, Ribeirão Paruru"
10,Iperó,SEAMA,22395,77,100,70,1.209,561,"6,63",Rio Sorocaba e Córrego Ipanema
10,Itu,CIS S- ACNIEA AITMUEANNTAO DE,161248,95,74,88,8.707,3.321,"7,06","Rib.Guaraú, Varjão e Tapera Grande"
10,Jumirim,Prefeitura,1928,95,100,84,104,21,"8,31",Ribeirão Água Podre

17,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
10,Laranjal Paulista,SABESP,25282,97,98,79,1.365,346,"8,08",Rio Sorocaba / Rio Tietê
10,Mairinque,SANEAQUA,37614,82,0,,2.031,2.031,"1,23",Cór.do Varjão
10,Pereiras,SAMASPE,5709,96,98,83,308,68,"8,29",Rib Conchas
10,Piedade,SABESP,25119,68,96,90,1.356,567,"6,73",Rio Pirapora
10,Porangaba,SABESP,4727,83,84,82,255,109,"6,42",Rio Feio
10,Porto Feliz,SAAE,44364,98,100,73,2.396,674,"8,14",Rio Tietê
10,Quadra,SABESP,960,68,100,96,52,18,"6,99",Rib.Palmeira
10,Salto de Pirapora,SABESP,35250,93,100,93,1.903,250,"9,70",Rio Pirapora
10,São Roque,SABESP,81576,48,100,88,4.405,2.541,"4,97","Rios Carambeí, Guaçu, Marmeleiro e Aracaí"
10,Sarapuí,SABESP,7493,61,0,,405,405,"0,91",Ribeirão Fazendinha
10,Sorocaba,SAAE,664351,99,98,91,35.875,4.254,"9,95","R.Sorocaba, Rio Pirajibu, Rio Itanguá, Rio Ipanema."
10,Tatuí,SABESP,114372,93,87,84,6.176,2.001,"7,59",Rio Tatuí
10,Tietê,SAMAE,37828,97,38,95,2.043,1.330,"4,79",Rio Tietê
10,Torre de Pedra,SABESP,1566,68,71,77,85,53,"4,80",Rib.Torre de Pedra
10,Vargem Grande Paulista,SABESP,51702,32,28,80,2.792,2.592,"1,57",Rib.Vargem Grande
10,Votorantim,SAAE,116680,99,99,82,6.301,1.255,"9,97","Rio Sorocaba, Cór. Cubatão, Cór. Itapeva, Rio Ipaneminha"
11,Apiaí,SABESP,17741,61,100,99,958,383,"6,51",Cór.Palmital
11,Barra do Chapéu,SABESP,1677,63,87,98,91,42,"6,05",Rio Catas Altas
11,Barra do Turvo,SABESP,3157,79,100,86,170,55,"7,60",Rio Pardo - Classe 2
11,Cajati,SABESP,20890,74,100,71,1.128,537,"6,51",R.Jacupiranguinha 98%; Ribeirão do Braz 2%
